<button id='HonorX5' type='button' value='HonorX5' onclick='HonorX5()'>Honor X5</button>!2/32 GB! Rs. 31,999  PKR!$. 109
<button id='HonorX6' type='button' value='HonorX6' onclick='HonorX6()'>Honor X6</button>!4/64 GB4/128 GB! Rs. 40,999  PKR!$. 140
<button id='Honor9XLite' type='button' value='Honor9XLite' onclick='Honor9XLite()'>Honor 9X Lite</button>!4/128 GB! Rs. 29,999  PKR!$. 102
<button id='Honor9X' type='button' value='Honor9X' onclick='Honor9X()'>Honor 9X</button>!6/128 GB! Rs. 39,999  PKR!$. 136
<button id='Honor20Pro' type='button' value='Honor20Pro' onclick='Honor20Pro()'>Honor 20 Pro</button>!8/256 GB! Rs. 99,999  PKR!$. 342
<button id='Honor10i' type='button' value='Honor10i' onclick='Honor10i()'>Honor 10i</button>!4/128 GB! Rs. 36,999  PKR!$. 126
<button id='HonorX40GTRacing' type='button' value='HonorX40GTRacing' onclick='HonorX40GTRacing()'>Honor X40 GT Racing</button>!12/256 GB12/512 GB! Rs. 64,999  PKR!$. 222
<button id='HonorVPurse' type='button' value='HonorVPurse' onclick='HonorVPurse()'>Honor V Purse</button>!16/256 GB16/512 GB! Rs. 234,999  PKR!$. 804
<button id='HonorPlay40S' type='button' value='HonorPlay40S' onclick='HonorPlay40S()'>Honor Play 40S</button>!4/128 GB! Rs. 43,999  PKR!$. 150
<button id='HonorX5Plus' type='button' value='HonorX5Plus' onclick='HonorX5Plus()'>Honor X5 Plus</button>!4/64 GB! Rs. 33,999  PKR!$. 116
<button id='HonorX6a' type='button' value='HonorX6a' onclick='HonorX6a()'>Honor X6a</button>!4/128 GB! Rs. 49,999  PKR!$. 171
<button id='HonorPlay40C' type='button' value='HonorPlay40C' onclick='HonorPlay40C()'>Honor Play 40C</button>!6/128 GB! Rs. 39,999  PKR!$. 136
<button id='HonorMagicPad13' type='button' value='HonorMagicPad13' onclick='HonorMagicPad13()'>Honor MagicPad 13</button>!8/256 GB12/256 GB16/512 GB! Rs. 89,999  PKR!$. 308
<button id='HonorMagicV2' type='button' value='HonorMagicV2' onclick='HonorMagicV2()'>Honor Magic V2</button>!16/256 GB16/512 GB16/1024 GB! Rs. 309,999  PKR!$. 1061
<button id='HonorPadX9' type='button' value='HonorPadX9' onclick='HonorPadX9()'>Honor Pad X9</button>!4/128 GB! Rs. 65,799  PKR!$. 225
<button id='HonorPadX8Pro' type='button' value='HonorPadX8Pro' onclick='HonorPadX8Pro()'>Honor Pad X8 Pro</button>!4/128 GB6/128 GB8/128 GB! Rs. 39,999  PKR!$. 136
<button id='HonorX50' type='button' value='HonorX50' onclick='HonorX50()'>Honor X50</button>!8/128 GB8/256 GB12/256 GB16/512 GB! Rs. 55,799  PKR!$. 191
<button id='HonorPlay40' type='button' value='HonorPlay40' onclick='HonorPlay40()'>Honor Play 40</button>!6/128 GB8/128 GB8/256 GB! Rs. 32,999  PKR!$. 113
<button id='HonorX50i' type='button' value='HonorX50i' onclick='HonorX50i()'>Honor X50i</button>!8/256 GB12/256 GB! Rs. 59,999  PKR!$. 205
<button id='Honor90Lite' type='button' value='Honor90Lite' onclick='Honor90Lite()'>Honor 90 Lite</button>!8/256 GB! Rs. 74,999  PKR!$. 256
